empName,empId,age,company     ,panNo    ,aadharNo,address  ,fatherName,motherName,pincode
benny  ,23   ,24 ,rent tracker,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
johnny ,33   ,64 ,abc         ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
english,24   ,36 ,soln        ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
jimmy  ,45   ,35 ,colls       ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
nimmy  ,65   ,45 ,cmc         ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
ravi   ,26   ,39 ,sip         ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
job    ,87   ,40 ,bank        ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
david  ,56   ,45 ,liz         ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
solomon,45   ,42 ,pay         ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
paul   ,90   ,69 ,monz        ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
nam    ,54   ,76 ,momo        ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
dap    ,33   ,20 ,boss        ,adfh6789o,yth35666,bangalore,john      ,gracia    ,5603
